,Date,Hourly_Temp
172,2022-06-25,9.315375000000001
173,2022-06-26,8.681833333333334
174,2022-06-27,8.202833333333333
175,2022-06-28,14.474375
176,2022-06-29,23.256916666666665
177,2022-06-30,21.952458333333336
178,2022-07-01,18.965708333333335
179,2022-07-02,22.2
180,2022-07-03,22.678916666666666
181,2022-07-04,13.118041666666668
182,2022-07-05,20.464333333333332
183,2022-07-06,20.912958333333332
184,2022-07-07,22.297666666666668
185,2022-07-08,18.1205
186,2022-07-09,19.671666666666667
187,2022-07-10,21.847708333333333
188,2022-07-11,19.366958333333333
189,2022-07-12,16.782958333333333
190,2022-07-13,20.7925
191,2022-07-14,17.425083333333333
192,2022-07-15,21.69525
193,2022-07-16,21.481958333333335
194,2022-07-17,17.872875
195,2022-07-18,13.481958333333333
